problemSize,workers,threads,input_ms,initialisation_ms,total_ms,ept,roundEpt,compareToStrong,baseTotal,baseInit,baseInput,totalSpeedup,initSpeedup,setupSpeedup,totalEfficiency,compareToWeak,weakBaseTotal,weakBaseInit,weakTotalEfficiency,weakInitEfficiency,difference
12288,9,72,10131,151792,209469,2097152,2097000,2,5274159,4284814,241646,25.17870902,28.22819384,23.85213701,0.039716095,35,209469,151792,1,1,0
12288,10,80,11848,141756,205280,1887436.8,1887000,2,5274159,4284814,241646,25.69251267,30.22668529,20.39550979,0.038921845,36,205280,141756,1,1,0
6144,3,24,8799,91652,133681,1572864,1573000,5,1393521,1139754,59656,10.42422633,12.43566971,6.779861348,0.095930381,37,133681,91652,1,1,0
6144,4,32,7674,83613,120719,1179648,1180000,5,1393521,1139754,59656,11.54351014,13.63130135,7.7737816,0.086628763,41,66798,46299,0.553334604,0.553729683,-0.00039508
3072,1,8,8525,76754,109411,1179648,1180000,19,408295,324922,17844,3.731754577,4.233290773,2.09313783,0.267970463,41,66798,46299,0.610523622,0.603212862,0.00731076
3072,1,8,7562,49488,74482,1179648,1180000,19,408295,324922,17844,5.481794259,6.565672486,2.359693203,0.182422023,41,66798,46299,0.896834134,0.935560136,-0.038726001
1536,1,2,3732,46299,66798,1179648,1180000,34,102884,75449,5588,1.540225755,1.629603231,1.497320472,0.649255472,41,66798,46299,1,1,0
6144,5,40,5861,72842,106691,943718.4,944000,5,1393521,1139754,59656,13.06127977,15.64693446,10.17846784,0.076562176,42,106691,72842,1,1,0
6144,6,48,5234,70279,100243,786432,786000,5,1393521,1139754,59656,13.90142953,16.21756143,11.39778372,0.071935048,43,100243,70279,1,1,0
6144,7,56,5083,59911,89504,674084.5714,674000,5,1393521,1139754,59656,15.5693712,19.02411911,11.73637616,0.06422867,44,89504,59911,1,1,0
6144,8,64,4664,59466,89018,589824,590000,5,1393521,1139754,59656,15.65437327,19.16648169,12.79073756,0.063879913,49,30878,12729,0.346873666,0.21405509,0.132818576
3072,2,16,6852,37093,64140,589824,590000,19,408295,324922,17844,6.36568444,8.759658157,2.604203152,0.157092298,49,30878,12729,0.481415653,0.343164478,0.138251175
3072,1,16,7383,41439,64868,589824,590000,19,408295,324922,17844,6.294243695,7.840971066,2.416903698,0.158875323,49,30878,12729,0.476012826,0.307174401,0.168838425
1536,1,4,6042,31725,50545,589824,590000,34,102884,75449,5588,2.035493125,2.37821907,0.924859318,0.491281443,49,30878,12729,0.610901177,0.401229314,0.209671863
768,1,1,2431,12729,30878,589824,590000,49,30878,12729,2431,1,1,1,1,49,30878,12729,1,1,0
6144,9,72,4649,43445,71892,524288,524000,5,1393521,1139754,59656,19.38353363,26.23441132,12.83200688,0.051590181,50,71892,43445,1,1,0
6144,10,80,4506,44313,72568,471859.2,472000,5,1393521,1139754,59656,19.20296825,25.72053348,13.23923657,0.052075283,51,72568,44313,1,1,0
3072,3,24,4877,33036,56940,393216,393000,19,408295,324922,17844,7.170618195,9.835391694,3.658806643,0.13945799,52,56940,33036,1,1,0
3072,4,32,3715,27126,49280,294912,295000,19,408295,324922,17844,8.285206981,11.97824965,4.803230148,0.120697045,56,19975,6567,0.405336851,0.242092457,0.163244393
1536,1,8,6001,23495,43518,294912,295000,34,102884,75449,5588,2.364171148,3.211278996,0.931178137,0.422981222,56,19975,6567,0.459005469,0.279506278,0.179499191
1536,1,8,5017,19241,35847,294912,295000,34,102884,75449,5588,2.870086758,3.921261889,1.113813036,0.348421523,56,19975,6567,0.557229336,0.341302427,0.215926909
768,1,2,2163,6567,19975,294912,295000,49,30878,12729,2431,1.54583229,1.938328004,1.123901988,0.646900706,56,19975,6567,1,1,0
3072,5,40,3423,25976,47370,235929.6,236000,19,408295,324922,17844,8.619273802,12.50854635,5.212971078,0.116019055,57,47370,25976,1,1,0
3072,6,48,3101,22856,43711,196608,197000,19,408295,324922,17844,9.340783784,14.2160483,5.754272815,0.107057397,58,43711,22856,1,1,0
3072,7,56,2970,19392,40269,168521.1429,169000,19,408295,324922,17844,10.13918895,16.75546617,6.008080808,0.098627218,59,40269,19392,1,1,0
3072,8,64,2961,17949,39264,147456,147000,19,408295,324922,17844,10.39871129,18.10251267,6.026342452,0.096165763,64,14719,3293,0.374872657,0.18346426,0.191408397
1536,2,16,4634,14450,34293,147456,147000,34,102884,75449,5588,3.000145802,5.221384083,1.205869659,0.333317134,64,14719,3293,0.429212959,0.227889273,0.201323686
1536,1,16,8214,17586,37186,147456,147000,34,102884,75449,5588,2.766740171,4.290287729,0.680301924,0.361436181,64,14719,3293,0.395821008,0.187251223,0.208569785
768,1,4,5977,4637,21972,147456,147000,49,30878,12729,2431,1.405334062,2.745093811,0.406725782,0.711574584,64,14719,3293,0.669898052,0.710157429,-0.040259377
384,1,1,1446,3293,14719,147456,147000,64,14719,3293,1446,1,1,1,1,64,14719,3293,1,1,0
3072,9,72,3216,18936,40813,131072,131000,19,408295,324922,17844,10.00404283,17.15895649,5.548507463,0.099959588,65,40813,18936,1,1,0
3072,10,80,2966,16377,37859,117964.8,118000,19,408295,324922,17844,10.78462189,19.84014166,6.016183412,0.092724623,66,37859,16377,1,1,0
1536,3,24,3492,10452,29947,98304,98000,34,102884,75449,5588,3.435536114,7.218618446,1.600229095,0.291075386,67,29947,10452,1,1,0
1536,4,32,2496,8580,26841,73728,74000,34,102884,75449,5588,3.833091166,8.793589744,2.238782051,0.260886046,71,12788,1852,0.476435304,0.215850816,0.260584488
768,1,8,4325,5117,20517,73728,74000,49,30878,12729,2431,1.504995857,2.487590385,0.562080925,0.664453656,71,12788,1852,0.623288005,0.361930819,0.261357186
768,1,8,4265,3146,17252,73728,74000,49,30878,12729,2431,1.78982147,4.046090273,0.569988277,0.558714943,71,12788,1852,0.741247392,0.588684043,0.152563348
384,1,2,1542,1852,12788,73728,74000,64,14719,3293,1446,1.151000938,1.778077754,0.937743191,0.868809022,71,12788,1852,1,1,0
1536,5,40,3208,7396,25956,58982.4,59000,34,102884,75449,5588,3.963784867,10.20132504,1.741895262,0.252284126,72,25956,7396,1,1,0
1536,6,48,2346,7587,28662,49152,49000,34,102884,75449,5588,3.589561091,9.944510347,2.381926684,0.278585592,73,28662,7587,1,1,0
1536,7,56,2160,5874,24196,42130.28571,42000,34,102884,75449,5588,4.252107786,12.84456929,2.587037037,0.235177481,74,24196,5874,1,1,0
1536,8,64,2016,5748,25606,36864,37000,34,102884,75449,5588,4.01796454,13.12613083,2.771825397,0.248882236,78,13908,1177,0.543153948,0.204766875,0.338387073
768,2,16,4142,2988,20582,36864,37000,49,30878,12729,2431,1.500242931,4.260040161,0.586914534,0.666558715,78,13908,1177,0.67573608,0.393908969,0.281827111
768,1,16,4607,6027,20536,36864,37000,49,30878,12729,2431,1.503603428,2.111996018,0.527675277,0.665068981,78,13908,1177,0.677249708,0.195287871,0.481961837
384,1,4,3534,1177,13908,36864,37000,64,14719,3293,1446,1.058311763,2.797790994,0.409168081,0.944901148,78,13908,1177,1,1,0
1536,9,72,1915,4943,24378,32768,33000,34,102884,75449,5588,4.220362622,15.2638074,2.918015666,0.236946464,79,24378,4943,1,1,0
1536,10,80,1939,5056,24264,29491.2,29000,34,102884,75449,5588,4.24019123,14.92266614,2.881897886,0.23583842,80,24264,5056,1,1,0
768,3,24,2913,2388,18836,24576,25000,49,30878,12729,2431,1.639307709,5.33040201,0.834534844,0.610013602,81,18836,2388,1,1,0
768,4,32,1628,2059,17874,18432,18000,49,30878,12729,2431,1.727537205,6.182127246,1.493243243,0.578858734,83,16481,1351,0.92206557,0.656143759,0.265921811
384,1,8,5989,1351,16481,18432,18000,64,14719,3293,1446,0.893089012,2.437453738,0.241442645,1.119709219,83,16481,1351,1,1,0
768,5,40,1560,1937,17658,14745.6,15000,49,30878,12729,2431,1.748669158,6.571502323,1.558333333,0.571863463,84,17658,1937,1,1,0
384,1,16,5952,1621,16824,9216,9000,64,14719,3293,1446,0.874881122,2.03146206,0.242943548,1.143012433,85,16824,1621,1,1,0
