problemSize,workers,threads,input_ms,initialisation_ms,total_ms,shutdown_ms,e2e_ms,ept,roundEpt,compareToStrong,baseTotal,baseInit,baseInput,totalSpeedup,initSpeedup,setupSpeedup,totalEfficiency,karpFlatt,compareToWeak,weakBaseTotal,weakBaseInit,weakTotalEfficiency,weakInitEfficiency,weakSpeedup,serial fraction
6144,4,8,3.401,161.85,173.52,8.846,199.992,4718592,4719000,29,1077.773,999.796,28.314,6.211232135,6.177299969,8.325198471,0.160998652,0.041141316,21,170.487,157.915,0.982520747,0.975687365,7.805498919,0.255538266
6144,4,4,6.724,203.463,224.475,8.846,266.327,9437184,9437000,29,1077.773,999.796,28.314,4.801305268,4.913895893,4.210886377,0.208276696,-0.055631071,22,332.281,307.961,1.480258381,1.513597067,6.054388267,-0.267101756
6144,1,2,15.856,517.899,554.65,6.681,628.238,18874368,18874000,29,1077.773,999.796,28.314,1.943158749,1.930484515,1.785696266,0.514625993,0.029251985,28,554.65,517.899,1,1,2,0.056841251
6144,1,1,28.314,999.796,1077.773,6.684,1204.262,37748736,37749000,29,1077.773,999.796,28.314,1,1,1,1,#DIV/0!,29,1077.773,999.796,1,1,1,#DIV/0!
768,4,64,5.874,0.716,3.088,8.857,21.966,9216,9000,36,18.156,12.94,0.98,5.879533679,18.0726257,0.166836908,0.170081516,0.156908206,30,3.088,0.716,1,1,64,0.922547084
768,4,32,1.79,0.877,3.108,8.842,16.271,18432,18000,36,18.156,12.94,0.98,5.841698842,14.75484607,0.547486034,0.17118308,0.14444705,31,3.108,0.877,1,1,32,0.843816166
768,4,16,0.773,1.159,3.333,8.843,15.407,36864,37000,36,18.156,12.94,0.98,5.447344734,11.16479724,1.26778784,0.183575677,0.129147389,32,3.333,1.159,1,1,16,0.703510351
768,4,8,1.425,1.984,4.182,8.844,17.415,73728,74000,36,18.156,12.94,0.98,4.341463415,6.522177419,0.687719298,0.230337079,0.120385233,33,4.182,1.984,1,1,8,0.522648084
768,4,4,0.645,3.445,5.947,8.848,17.822,147456,147000,36,18.156,12.94,0.98,3.052967883,3.75616836,1.519379845,0.327550121,0.103400162,34,5.947,3.445,1,1,4,0.315677372
768,1,2,0.813,6.819,9.157,6.663,19.018,294912,295000,36,18.156,12.94,0.98,1.982745441,1.89763895,1.205412054,0.504351179,0.008702357,35,9.157,6.819,1,1,2,0.017254559
768,1,1,0.98,12.94,18.156,6.66,28.45,589824,590000,36,18.156,12.94,0.98,1,1,1,1,#DIV/0!,36,18.156,12.94,1,1,1,#DIV/0!
